Região,Área,Pagamento,Opinião,Renda,Idade
Baependinha,Educacional,Incentivos federais,Indiferente,1.01,20
Itamaracanã,Educacional,Bolsas de estudo,Indiferente,1.01,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.01,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.01,20
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1.01,20
Itamaracanã,Computação e Matemática,Incentivos federais,Muito insatisfeito,1.01,20
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1.01,20
Itamaracanã,Educacional,Incentivos federais,Satisfeito,1.01,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.01,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.01,20
Itamaracanã,Educacional,Incentivos federais,Indiferente,1.01,20
Jaquereçaba,Administração,Incentivos federais,Muito insatisfeito,1.01,20
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,20
Aratibutantã,Administração,Bolsas de estudo,Insatisfeito,1.02,20
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.02,20
Itamaracanã,Administração,Bolsas de estudo,Insatisfeito,1.02,20
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1.02,20
Jaquereçaba,Humanidades,Bolsas de estudo,Insatisfeito,1.02,20
Baependinha,Computação e Matemática,Bolsas de estudo,Muito insatisfeito,1.04,20
Jaquereçaba,Humanidades,,Insatisfeito,1.04,20
Baependinha,Educacional,Bolsas de estudo,Satisfeito,1.05,20
Jaquereçaba,Administração,Bolsas de estudo,Insatisfeito,1.05,20
Aratibutantã,Engenharia e Produção,Incentivos federais,Muito insatisfeito,1.11,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,2,20
Aratibutantã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,21
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,,Indiferente,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1,21
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1,21
Itamaracanã,Humanidades,Bolsas de estudo,Muito insatisfeito,1,21
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,21
Jaquereçaba,Educacional,Incentivos federais,Insatisfeito,1,21
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1,21
Jaquereçaba,Educacional,Incentivos federais,Muito insatisfeito,1,21
,Educacional,Incentivos federais,Insatisfeito,1,21
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.01,21
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,21
Baependinha,Administração,Incentivos federais,Muito insatisfeito,1.01,21
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,21
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.01,21
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.01,21
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,21
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,21
Itamaracanã,Humanidades,Bolsas de estudo,Indiferente,1.01,21
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.01,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,21
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,21
Itamaracanã,Humanidades,Bolsas de estudo,Insatisfeito,1.01,21
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.01,21
Itamaracanã,Educacional,Bolsas de estudo,Satisfeito,1.01,21
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.01,21
Itamaracanã,Educacional,Bolsas de estudo,Satisfeito,1.01,21
Itamaracanã,Educacional,Bolsas de estudo,Satisfeito,1.01,21
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.01,21
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.01,21
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.01,21
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,21
Itamaracanã,Administração,Bolsas de estudo,Insatisfeito,1.01,21
Itamaracanã,Educacional,Bolsas de estudo,Indiferente,1.01,21
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,21
Jaquereçaba,Educacional,Bolsas de estudo,Indiferente,1.01,21
Jaquereçaba,Administração,Incentivos federais,Muito insatisfeito,1.01,21
Jaquereçaba,Educacional,Bolsas de estudo,Insatisfeito,1.01,21
Aratibutantã,Administração,Financiamento bancário,Insatisfeito,1.02,21
Baependinha,Educacional,Incentivos federais,Insatisfeito,1.02,21
Baependinha,Administração,Bolsas de estudo,Insatisfeito,1.02,21
Baependinha,Humanidades,Incentivos federais,Insatisfeito,1.02,21
Baependinha,Administração,Incentivos federais,Muito insatisfeito,1.02,21
Itamaracanã,Administração,Bolsas de estudo,Insatisfeito,1.02,21
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.02,21
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.02,21
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.02,21
Itamaracanã,Engenharia e Produção,Incentivos federais,Muito insatisfeito,1.02,21
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,21
Jaquereçaba,Educacional,Bolsas de estudo,Indiferente,1.02,21
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,1.02,21
Baependinha,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,1.03,21
Baependinha,Administração,Bolsas de estudo,Insatisfeito,1.03,21
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.03,21
Itamaracanã,Educacional,Bolsas de estudo,Satisfeito,1.03,21
Itamaracanã,Administração,Bolsas de estudo,Indiferente,1.03,21
Itamaracanã,Humanidades,Bolsas de estudo,Insatisfeito,1.03,21
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.03,21
Jaquereçaba,Humanidades,Bolsas de estudo,Satisfeito,1.03,21
Jaquereçaba,Educacional,Incentivos federais,Muito insatisfeito,1.03,21
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.04,21
Baependinha,Administração,Bolsas de estudo,Insatisfeito,1.04,21
Itamaracanã,Administração,Bolsas de estudo,Insatisfeito,1.04,21
Itamaracanã,Administração,Bolsas de estudo,Insatisfeito,1.04,21
Jaquereçaba,Educacional,Incentivos federais,Insatisfeito,1.04,21
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.04,21
Aratibutantã,Administração,Bolsas de estudo,Muito insatisfeito,1.05,21
Aratibutantã,Administração,Bolsas de estudo,Insatisfeito,1.05,21
Aratibutantã,Educacional,Bolsas de estudo,Insatisfeito,1.05,21
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,1.05,21
Itamaracanã,Administração,Bolsas de estudo,Insatisfeito,1.05,21
Itamaracanã,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,1.05,21
Jaquereçaba,Humanidades,Bolsas de estudo,Insatisfeito,1.05,21
Baependinha,Administração,Bolsas de estudo,Indiferente,1.06,21
Itamaracanã,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.06,21
Itamaracanã,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,1.06,21
Jaquereçaba,Administração,Bolsas de estudo,Indiferente,1.06,21
Aratibutantã,Administração,Bolsas de estudo,Indiferente,1.07,21
Jaquereçaba,Administração,Bolsas de estudo,Satisfeito,1.07,21
Jaquereçaba,Administração,Bolsas de estudo,Insatisfeito,1.09,21
Jaquereçaba,Administração,Financiamento bancário,Satisfeito,1.1,21
Jaquereçaba,Jurídica e Contábil,Financiamento bancário,Indiferente,1.11,21
Baependinha,Administração,Bolsas de estudo,Satisfeito,1.15,21
Jaquereçaba,Jurídica e Contábil,Financiamento bancário,Indiferente,1.2,21
Paranapitanga,Engenharia e Produção,Bolsas de estudo,Insatisfeito,1.21,21
Baependinha,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,1.22,21
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Insatisfeito,1.23,21
Jaquereçaba,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.23,21
Itamaracanã,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.25,21
Jaquereçaba,Administração,Financiamento bancário,Muito satisfeito,1.28,21
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Insatisfeito,2.18,21
Itamaracanã,Educacional,Bolsas de estudo,Indiferente,4.08,21
Aratibutantã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,22
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1,22
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,22
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,22
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1,22
Jaquereçaba,Educacional,Incentivos federais,Muito insatisfeito,1,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1,22
Jaquereçaba,Educacional,Incentivos federais,Muito insatisfeito,1,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1,22
Aratibutantã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Aratibutantã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Baependinha,Administração,Incentivos federais,Muito insatisfeito,1.01,22
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Baependinha,Humanidades,Bolsas de estudo,Muito insatisfeito,1.01,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Baependinha,Educacional,Incentivos federais,Insatisfeito,1.01,22
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1.01,22
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1.01,22
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1.01,22
Baependinha,Humanidades,Bolsas de estudo,Muito insatisfeito,1.01,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Baependinha,Educacional,Incentivos federais,Indiferente,1.01,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Baependinha,Humanidades,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Humanidades,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Administração,,Muito insatisfeito,1.01,22
Itamaracanã,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Indiferente,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Humanidades,Bolsas de estudo,Insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Humanidades,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.01,22
Itamaracanã,Humanidades,Bolsas de estudo,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.01,22
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1.01,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.01,22
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.01,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Jaquereçaba,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Jaquereçaba,Educacional,Incentivos federais,Muito insatisfeito,1.01,22
Jaquereçaba,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Jaquereçaba,Administração,Bolsas de estudo,Muito insatisfeito,1.01,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Jaquereçaba,Engenharia e Produção,Financiamento bancário,Muito insatisfeito,1.01,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Aratibutantã,Administração,Incentivos federais,Muito insatisfeito,1.02,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Aratibutantã,Educacional,Bolsas de estudo,Insatisfeito,1.02,22
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.02,22
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,1.02,22
Baependinha,Administração,Incentivos federais,Muito insatisfeito,1.02,22
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1.02,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.02,22
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1.02,22
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1.02,22
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.02,22
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1.02,22
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.02,22
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1.02,22
Itamaracanã,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,1.02,22
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Itamaracanã,Humanidades,Bolsas de estudo,Insatisfeito,1.02,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.02,22
Itamaracanã,Computação e Matemática,Incentivos federais,Muito insatisfeito,1.02,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.02,22
Itamaracanã,Administração,Bolsas de estudo,Insatisfeito,1.02,22
Itamaracanã,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,1.02,22
Itamaracanã,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Itamaracanã,Humanidades,Bolsas de estudo,Muito insatisfeito,1.02,22
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1.02,22
Itamaracanã,Educacional,Bolsas de estudo,Indiferente,1.02,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Jaquereçaba,Administração,Incentivos federais,Muito insatisfeito,1.02,22
Jaquereçaba,Educacional,Bolsas de estudo,Insatisfeito,1.02,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.02,22
Jaquereçaba,Computação e Matemática,Bolsas de estudo,Muito insatisfeito,1.02,22
Jaquereçaba,Administração,Bolsas de estudo,Muito insatisfeito,1.02,22
Jaquereçaba,Administração,Bolsas de estudo,Muito insatisfeito,1.02,22
Aratibutantã,Administração,Bolsas de estudo,Muito insatisfeito,1.03,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.03,22
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.03,22
Aratibutantã,Educacional,Bolsas de estudo,Indiferente,1.03,22
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,1.03,22
Baependinha,Educacional,Bolsas de estudo,Muito insatisfeito,1.03,22
Baependinha,Administração,Bolsas de estudo,Insatisfeito,1.03,22
Baependinha,Educacional,Bolsas de estudo,Indiferente,1.03,22
Baependinha,Educacional,Bolsas de estudo,Insatisfeito,1.03,22
Itamaracanã,Computação e Matemática,Bolsas de estudo,Muito insatisfeito,1.03,22
Itamaracanã,Educacional,Bolsas de estudo,Indiferente,1.03,22
Itamaracanã,Computação e Matemática,Bolsas de estudo,Insatisfeito,1.03,22
Itamaracanã,Humanidades,Bolsas de estudo,Insatisfeito,1.03,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.03,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.03,22
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1.03,22
Itamaracanã,Administração,Financiamento bancário,Satisfeito,1.03,22
Itamaracanã,Administração,Incentivos federais,Insatisfeito,1.03,22
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1.03,22
Itamaracanã,Educacional,Bolsas de estudo,Insatisfeito,1.03,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.03,22
Itamaracanã,Administração,Bolsas de estudo,Muito insatisfeito,1.03,22
Jaquereçaba,Educacional,Bolsas de estudo,Indiferente,1.03,22
Jaquereçaba,Educacional,Bolsas de estudo,Muito insatisfeito,1.03,22
Jaquereçaba,Educacional,Bolsas de estudo,Insatisfeito,1.03,22
Jaquereçaba,Administração,Bolsas de estudo,Muito insatisfeito,1.03,22
